63	45	13	55
69	22	17	51
12	39	77	4
94	83	60	95
83	25	16	49
49	58	69	66
38	78	56	37
59	88	52	66
57	68	86	52
90	5	41	57
6	67	3	74
36	49	62	74
30	62	68	1
62	16	7	64
39	51	69	49
85	11	9	11
70	22	54	38
5	41	24	68
96	97	23	34
16	71	19	39
63	3	81	74
29	64	83	80
18	79	78	36
36	30	93	54
23	77	20	16
11	63	12	32
28	75	40	86
87	24	52	52
37	34	14	65
79	12	13	22
57	14	88	83
94	20	1	70
96	90	71	17
80	2	85	17
57	39	78	12
88	75	41	45
41	46	61	39
4	20	14	55
5	27	32	36
96	95	63	96
51	60	97	95
83	85	82	58
78	39	51	6
18	68	97	2
52	75	44	33
65	61	58	7
53	78	19	43
99	44	76	29
62	21	84	48
15	37	29	80
99	47	65	75
95	12	92	32
36	4	94	16
63	53	23	8
80	64	99	56
68	66	96	57
76	71	5	82
21	15	14	98
77	13	40	50
70	31	96	97
70	54	34	99
77	33	23	69
3	54	73	55
74	97	97	87
5	71	46	75
51	30	60	50
53	18	27	89
13	29	93	78
71	87	38	7
33	90	59	57
25	12	99	86
94	79	38	1
27	70	59	67
72	81	14	8
99	33	99	18
56	68	36	62
49	43	4	39
7	27	69	23
39	80	98	93
70	62	84	25
45	20	95	35
33	87	23	18
66	9	12	72
68	42	73	37
33	66	47	48
3	19	40	8
45	10	62	16
46	88	56	16
19	2	59	86
46	6	73	17
80	27	26	3
62	95	86	63
56	65	21	90
88	51	16	14
72	70	45	1
84	92	50	57
90	46	66	21
41	100	43	70
53	87	13	51
37	67	24	16
78	7	66	47
93	7	85	80
76	28	88	56
57	96	4	28
62	5	25	81
1	17	72	58
8	4	10	21
23	39	79	80
99	40	78	24
70	82	40	44
2	88	25	92
25	19	87	65
27	59	60	73
83	62	91	28
75	9	38	1
13	52	3	58
39	99	91	99
5	99	68	87
60	45	56	54
84	82	40	20
41	58	29	52
20	33	97	46
84	27	22	15
6	77	42	90
72	98	96	37
32	70	96	24
78	4	75	51
74	100	64	37
30	37	74	51
31	32	92	63
40	31	32	54
1	80	11	94
97	6	74	35
88	62	59	42
51	64	52	89
55	65	38	96
84	47	3	97
16	82	3	28
75	19	35	89
36	81	75	4
50	47	93	95
69	70	41	26
93	99	43	44
41	99	44	61
26	19	22	23
36	19	92	48
96	29	76	67
49	2	55	2
79	37	58	92
41	100	40	77
4	26	46	11
7	97	37	61
64	85	50	64
12	19	21	24
8	96	88	33
28	38	30	3
45	26	83	46
34	72	57	20
