439	229	166	789	889	
573	308	330	881	565	
847	330	564	839	23	
593	711	334	168	888	
887	731	536	179	604	
391	861	23	618	824	
672	392	511	790	328	
951	567	22	657	406	
921	877	186	948	78	
586	222	450	664	353	
322	345	11	509	839	
284	219	577	804	369	
844	4	158	842	780	
441	477	127	783	127	
165	807	150	206	67	
707	491	765	631	995	
695	593	12	950	862	
383	640	745	879	181	
147	22	488	920	194	
661	926	719	970	156	
630	512	988	839	753	
865	771	864	385	843	
719	156	503	835	492	
906	623	996	596	101	
574	664	397	944	830	
139	987	361	775	55	
417	586	408	457	352	
188	414	409	15	447	
202	748	242	846	895	
939	733	624	939	872	
706	996	378	690	466	
517	627	981	692	787	
167	278	833	74	611	
9	975	761	998	409	
189	717	661	530	752	
827	708	119	118	11	
401	455	445	406	707	
822	246	266	422	524	
867	315	36	196	148	
332	258	112	790	642	
826	604	186	12	710	
35	959	93	755	779	
565	872	484	73	683	
111	531	603	602	645	
967	49	184	394	152	
261	241	408	570	674	
589	487	806	76	246	
227	623	909	116	213	
611	82	726	611	254	
179	546	186	971	234	
782	486	899	598	351	
521	205	108	574	646	
834	264	136	660	168	
512	50	793	705	426	
594	463	1	472	412	
357	272	765	399	73	
136	157	639	844	177	
856	368	796	85	606	
67	680	662	652	826	
652	960	911	636	8	
952	391	968	374	59	
490	693	558	440	649	
582	974	574	28	680	
797	495	824	72	450	
131	553	957	811	678	
325	716	821	489	12	
771	749	76	387	624	
427	439	717	15	499	
627	663	509	76	942	
16	708	114	776	829	
288	167	125	765	69	
235	78	403	884	258	
162	94	238	990	579	
352	85	686	433	399	
626	241	20	807	723	
591	308	656	530	912	
787	164	36	148	534	
68	160	308	807	500	
969	385	782	641	823	
56	151	15	834	171	
675	611	526	941	111	
556	351	800	275	767	
316	902	866	221	896	
39	568	61	850	407	
779	52	503	741	147	
414	403	388	462	957	
187	209	665	557	665	
644	664	625	794	515	
683	621	885	99	216	
183	486	9	259	529	
860	840	678	590	708	
52	718	167	778	849	
526	490	548	516	139	
727	664	991	919	19	
92	644	334	768	759	
425	733	430	310	39	
964	918	825	885	520	
109	55	188	911	57	
208	834	220	163	254	
929	757	231	372	845	
2	291	309	676	890	
