122	960	122	461	571	817	
454	851	527	256	59	653	
881	619	627	624	289	952	
391	344	890	661	129	865	
943	582	582	16	744	599	
344	273	308	750	1	334	
866	16	234	667	836	660	
416	457	339	384	368	435	
43	789	172	628	258	53	
926	96	233	715	101	172	
329	328	180	291	66	333	
689	523	149	982	446	997	
627	175	117	110	226	406	
306	429	977	944	237	995	
387	685	831	297	97	612	
408	590	9	515	964	801	
910	626	770	638	620	29	
61	989	492	385	382	266	
261	927	137	852	998	170	
876	544	978	725	219	200	
874	780	41	49	283	22	
659	44	747	181	144	234	
828	252	138	537	318	758	
444	443	667	785	524	470	
759	954	848	655	571	52	
35	451	980	363	392	10	
634	385	790	277	911	100	
720	188	489	287	991	392	
472	622	974	396	804	234	
965	363	980	895	281	152	
859	894	438	835	252	626	
434	224	864	899	321	342	
943	524	179	619	485	79	
915	810	895	244	878	522	
262	622	663	424	10	272	
925	792	970	388	493	253	
700	745	411	235	942	135	
95	529	854	562	787	580	
413	981	57	678	698	210	
989	186	752	224	149	470	
74	383	831	258	161	31	
398	657	394	500	275	1000	
275	784	706	948	884	530	
36	284	952	534	885	615	
323	436	944	389	981	761	
548	248	619	40	607	314	
881	473	838	495	216	603	
754	133	336	575	818	16	
139	636	305	279	382	831	
722	366	451	930	786	521	
561	338	308	936	125	642	
725	633	521	27	781	542	
312	118	744	552	756	449	
271	928	320	330	671	765	
563	972	423	750	823	305	
16	954	15	825	709	164	
930	385	474	364	864	408	
704	103	362	678	640	167	
819	261	132	195	13	779	
492	259	968	434	299	309	
438	136	900	502	539	346	
66	940	229	730	279	198	
996	77	397	797	873	142	
752	145	756	190	751	950	
963	638	606	612	581	844	
242	747	745	463	604	142	
971	94	481	797	938	797	
164	601	213	50	375	122	
534	272	906	506	576	673	
458	139	412	216	492	562	
375	860	291	371	234	880	
642	240	777	420	856	136	
668	722	917	624	574	183	
662	380	690	815	46	748	
34	73	832	569	312	577	
517	574	607	202	49	405	
916	592	721	153	881	71	
713	424	433	476	151	356	
241	164	715	932	960	40	
466	269	902	771	85	566	
413	282	909	601	495	731	
918	981	861	301	761	748	
335	680	774	721	843	632	
821	690	47	461	92	739	
920	134	891	718	336	997	
983	453	620	730	837	600	
404	767	381	387	799	231	
676	662	823	795	787	979	
471	453	726	929	1	423	
418	741	534	281	760	649	
210	446	801	123	544	128	
795	99	896	28	77	672	
131	632	252	358	472	938	
608	283	365	293	207	649	
753	560	984	502	260	981	
986	77	98	542	728	801	
620	474	40	133	661	927	
404	160	406	244	948	914	
64	842	554	366	470	980	
776	429	767	582	896	161	
208	282	45	651	125	455	
989	314	803	301	875	901	
323	487	207	218	248	527	
490	681	902	368	894	830	
932	513	774	299	798	759	
71	881	571	679	355	546	
415	332	203	830	505	198	
469	463	103	296	84	658	
758	545	920	235	872	692	
797	328	675	837	903	400	
82	57	486	600	643	456	
234	963	910	705	507	576	
881	563	887	714	277	877	
81	604	166	330	182	816	
843	810	67	168	444	720	
905	455	315	969	286	439	
146	645	137	778	594	543	
991	3	316	868	333	220	
258	551	66	633	597	903	
615	921	219	125	6	78	
880	983	692	553	429	112	
150	978	456	104	270	283	
944	124	717	206	137	695	
606	246	491	364	393	6	
896	29	276	810	452	552	
245	849	218	168	76	165	
23	979	286	879	964	398	
156	323	583	92	712	147	
122	165	534	927	46	583	
287	963	870	545	69	196	
799	292	863	764	135	326	
197	701	24	782	608	868	
949	799	976	359	118	312	
294	401	212	78	654	204	
470	258	429	416	560	967	
842	868	278	89	467	505	
144	134	401	536	230	316	
69	441	502	319	277	134	
88	655	24	240	150	944	
686	22	766	349	35	954	
98	350	543	269	663	889	
605	555	610	954	126	946	
598	964	107	135	211	221	
498	543	882	867	407	605	
457	263	900	258	623	257	
162	610	842	965	632	149	
516	83	640	624	353	594	
605	341	939	546	248	494	
123	3	798	616	714	15	
873	166	655	738	182	556	
446	50	498	793	157	734	
283	591	136	303	72	908	
116	797	733	829	115	484	
185	235	366	455	231	423	
550	824	930	590	580	124	
339	293	113	2	241	224	
659	223	947	343	421	86	
251	170	483	896	997	974	
770	413	801	977	79	847	
2	513	481	241	863	643	
87	441	207	121	450	105	
391	844	765	495	692	230	
464	983	33	706	508	20	
125	226	666	100	445	761	
550	365	892	568	945	993	
162	410	687	81	697	130	
614	90	3	900	895	867	
336	368	998	438	746	14	
846	277	337	460	374	611	
618	446	153	41	611	474	
486	70	825	122	288	385	
16	844	803	84	814	625	
329	112	281	481	143	198	
177	963	197	862	791	250	
307	83	855	294	473	144	
515	397	729	805	396	281	
581	84	205	461	904	912	
668	983	431	516	644	536	
558	890	939	320	914	554	
175	57	262	409	66	972	
57	613	844	735	416	843	
401	217	916	699	648	896	
995	851	619	913	535	882	
800	71	412	122	614	432	
480	442	262	781	18	9	
256	975	781	705	84	484	
762	440	126	59	835	859	
120	794	676	818	90	558	
115	382	56	267	528	672	
628	930	709	835	329	407	
474	174	951	220	632	834	
877	860	923	927	398	517	
340	978	315	7	876	243	
433	561	641	281	59	193	
718	494	893	183	163	259	
926	20	566	705	838	166	
181	337	230	631	114	822	
963	245	491	632	797	120	
636	368	244	115	61	725	
75	78	696	938	526	945	
267	108	167	627	670	815	
162	743	274	708	367	904	
1	598	804	330	998	207	
714	810	743	560	476	404	
384	820	641	650	387	686	
600	147	837	337	54	962	
530	330	719	554	854	169	
949	147	55	137	498	629	
337	441	58	35	481	251	
283	986	909	875	684	135	
125	548	806	880	19	710	
856	447	173	852	226	829	
762	243	479	316	112	862	
532	9	794	135	966	416	
607	835	218	78	675	632	
581	66	106	872	675	732	
410	700	983	868	400	846	
797	616	153	832	403	339	
13	540	510	647	842	193	
137	684	813	660	653	477	
347	245	917	987	223	816	
987	214	464	258	223	553	
322	888	493	593	105	298	
854	548	919	345	68	619	
905	324	8	785	500	964	
326	540	166	438	311	481	
619	70	801	470	928	270	
649	311	567	8	804	231	
940	213	644	784	100	185	
640	529	257	363	978	64	
542	993	665	3	568	666	
411	480	474	936	263	410	
861	435	873	646	171	191	
919	169	676	234	414	493	
608	501	82	84	802	224	
607	119	547	320	931	219	
974	200	649	425	545	233	
141	631	661	869	712	367	
405	495	753	220	835	640	
69	879	378	444	504	30	
862	880	848	543	293	60	
16	650	236	127	438	635	
638	916	397	308	118	810	
798	339	523	586	573	555	
743	100	857	269	985	697	
955	134	991	649	207	452	
394	676	453	267	761	654	
128	966	812	4	609	507	
2	629	382	356	717	587	
526	67	809	528	143	238	
76	70	668	962	296	267	
386	522	15	53	410	41	
41	222	820	26	24	395	
913	975	728	148	648	306	
