592	342	854	847	241	160
952	939	718	471	702	634
458	260	694	598	469	114
325	330	790	946	644	966
585	573	443	490	132	227
163	715	965	774	35	650
538	565	259	92	365	115
52	795	339	541	138	657
321	955	31	32	871	363
773	383	57	852	319	614
537	150	906	705	715	336
514	852	156	389	898	303
340	79	709	607	161	749
550	126	212	862	536	512
213	330	473	416	512	343
592	579	518	839	599	410
291	240	740	513	875	412
996	80	191	612	932	692
952	990	831	531	356	92
500	183	58	816	975	517
860	903	598	233	194	986
348	250	106	285	691	603
590	42	509	167	615	974
119	394	731	177	655	35
462	956	728	998	211	967
27	520	146	958	446	737
384	178	760	331	546	130
663	226	581	759	934	926
323	580	213	390	588	298
391	858	21	533	383	484
443	225	694	361	304	43
415	90	300	699	482	850
728	655	554	409	535	29
525	94	234	858	966	182
15	473	96	157	934	275
511	501	221	384	364	147
682	369	53	286	927	794
513	114	307	523	945	270
84	910	540	488	312	540
1000	773	891	349	171	587
672	916	123	120	352	793
766	494	711	724	669	127
462	630	671	623	793	985
253	781	204	254	617	563
142	780	264	753	426	364
807	291	186	115	692	720
218	618	629	19	430	688
498	328	817	348	243	935
102	987	654	330	93	799
402	344	885	779	712	596
446	298	456	885	761	98
556	794	240	42	884	275
959	588	590	257	532	360
320	454	179	388	670	39
361	232	605	970	850	724
806	123	161	497	695	427
299	153	462	629	264	652
886	640	125	551	959	281
121	952	551	975	495	832
276	781	54	317	209	339
331	314	603	653	910	829
989	135	592	373	718	291
299	197	960	891	854	571
899	53	800	669	47	572
737	509	839	694	44	354
666	835	864	189	685	935
982	687	28	293	159	652
91	915	236	389	438	526
602	907	26	399	151	707
795	352	398	917	893	169
533	781	866	990	920	488
733	955	187	854	657	626
169	522	484	793	369	559
192	855	442	972	898	16
418	746	539	146	887	87
78	629	88	257	130	740
366	26	595	605	240	325
25	325	122	16	54	846
965	401	704	824	956	747
829	216	385	361	130	707
848	384	656	538	64	796
867	664	831	992	789	982
302	423	367	454	776	420
762	257	78	54	714	943
286	224	650	216	867	832
813	980	25	130	295	424
163	766	172	608	184	47
828	819	933	845	411	603
657	13	948	189	281	367
497	646	623	51	983	298
707	989	185	101	415	546
858	687	107	294	925	434
503	25	873	728	532	642
804	603	722	857	953	288
475	7	774	445	634	313
645	114	597	747	12	926
961	274	524	81	367	842
854	325	183	417	325	538
4	764	131	628	945	139
323	275	981	317	510	47
656	837	787	1000	381	266
521	255	177	55	23	195
780	495	302	671	348	615
347	912	280	658	900	424
109	204	138	181	464	66
175	565	958	311	343	384
809	203	477	863	963	54
750	120	478	62	559	982
425	242	189	531	495	165
91	358	902	238	306	561
895	576	127	680	367	746
764	186	260	740	954	976
534	331	893	392	493	75
520	828	888	795	981	223
54	951	566	661	825	573
745	968	828	169	328	949
23	760	604	394	397	135
518	176	21	558	100	5
303	103	595	317	940	618
884	332	675	210	376	942
411	654	657	386	179	683
949	351	886	409	683	235
49	680	54	937	371	969
848	462	879	318	88	452
790	85	982	534	196	250
400	190	243	418	421	982
669	460	34	667	479	859
21	310	687	200	576	546
534	740	287	658	768	504
519	96	766	567	835	175
245	42	249	506	194	723
560	974	682	622	25	331
613	500	803	382	350	561
495	134	149	483	542	35
69	233	527	959	141	171
632	157	334	604	53	372
14	170	522	302	767	850
109	188	8	493	387	928
807	572	934	935	531	33
66	122	303	383	369	521
93	584	290	922	548	658
239	14	554	33	168	675
120	372	241	347	137	533
789	236	850	2	790	600
478	964	110	490	500	574
653	411	953	223	184	947
810	935	342	277	714	247
370	888	517	35	776	228
336	347	685	139	942	824
751	408	605	855	303	762
64	90	672	796	227	790
592	416	689	559	293	335
723	742	864	636	847	605
483	376	461	638	699	823
7	118	43	271	507	633
779	6	235	204	56	480
142	547	391	282	223	446
297	361	386	665	155	399
601	920	834	299	397	947
403	639	217	886	332	494
242	94	967	50	227	137
797	799	334	444	801	736
23	348	209	984	324	131
160	519	860	741	479	895
119	599	458	241	274	723
622	868	892	593	961	4
249	93	675	76	752	586
514	673	274	816	607	837
60	639	990	777	646	399
611	847	602	592	762	689
565	949	405	426	677	395
527	189	319	605	717	660
22	362	294	852	599	427
569	64	347	51	164	909
720	43	446	582	267	427
503	954	311	55	452	876
831	533	942	309	514	66
469	699	831	218	471	40
163	370	426	154	662	835
272	585	210	470	761	925
370	96	448	114	585	930
797	371	261	719	394	530
642	3	414	978	571	908
685	112	865	925	742	47
29	98	78	693	529	351
988	819	524	745	488	957
281	145	846	302	374	149
355	230	326	645	67	278
816	404	123	398	43	606
900	419	577	12	818	853
61	85	40	184	227	51
491	663	800	889	592	556
304	703	783	631	536	86
949	821	585	813	403	964
820	661	961	850	291	997
89	150	520	284	767	664
632	644	632	306	745	790
500	99	721	367	565	33
982	537	874	433	475	300
422	448	284	925	636	569
372	27	250	173	621	914
507	187	740	694	719	702
526	581	295	202	807	535
198	174	362	106	24	614
452	141	287	424	265	267
255	260	532	734	992	588
140	85	673	830	267	793
216	652	280	390	773	522
337	231	340	702	341	653
923	327	983	264	244	335
708	966	80	495	807	246
486	47	877	208	726	127
654	647	583	208	537	372
791	950	322	664	165	816
399	503	901	191	416	384
979	865	532	682	190	355
946	273	333	218	141	609
65	948	712	711	77	803
364	59	636	618	218	929
437	49	787	485	900	530
732	778	869	645	860	812
12	366	888	352	757	873
446	607	350	90	188	628
131	533	16	162	134	294
854	33	748	935	53	538
471	203	983	407	870	338
837	520	677	452	869	956
