922	195	192
717	976	942
680	476	923
941	815	242
631	711	597
983	672	907
122	457	687
459	273	855
370	731	821
640	120	54
10	54	300
928	381	316
102	544	80
491	944	609
993	381	602
921	445	965
971	203	708
499	70	542
885	452	533
57	497	308
83	527	325
757	419	277
538	662	163
164	204	671
83	584	303
479	577	446
800	314	316
763	848	378
103	387	709
386	814	141
245	846	731
603	439	751
771	991	517
338	44	908
871	668	261
846	741	92
781	969	225
193	972	36
685	457	981
900	196	318
927	380	539
923	250	375
521	991	760
791	413	103
880	721	177
517	807	969
847	28	750
246	725	761
315	211	992
920	278	213
132	937	371
970	396	372
663	347	677
610	385	903
502	688	950
921	215	407
25	260	461
336	610	802
668	837	472
716	207	776
729	877	85
809	245	18
618	361	170
950	593	186
130	973	594
389	392	379
727	24	496
838	776	457
247	590	229
848	20	565
221	346	351
708	287	219
641	978	11
133	379	445
159	273	169
588	755	566
536	929	480
99	242	343
372	463	501
197	891	594
970	614	156
407	297	300
989	469	297
833	790	768
708	553	793
815	218	718
866	416	227
278	321	998
411	279	478
231	48	980
442	36	438
470	223	452
89	56	533
41	136	488
598	18	19
221	787	841
351	685	960
843	136	986
172	967	338
573	76	662
856	735	276
778	39	718
326	203	302
376	688	801
288	994	596
834	804	664
192	5	425
926	283	41
85	32	402
149	421	473
716	302	854
56	106	639
825	213	782
330	305	438
91	657	723
926	129	439
606	697	285
950	405	957
790	682	617
278	721	48
926	184	657
312	512	141
737	447	933
587	497	278
921	294	875
302	507	672
554	567	452
805	631	495
883	94	913
241	596	808
663	32	782
179	401	112
112	513	695
1000	952	540
975	905	785
469	809	623
179	450	466
115	994	245
435	621	293
474	422	302
421	509	699
6	981	16
917	691	895
211	663	714
324	294	717
141	761	997
561	231	784
956	875	342
215	529	20
437	244	651
129	899	582
791	543	795
518	187	188
564	548	718
414	600	817
362	442	648
652	500	630
246	932	226
756	260	462
678	182	893
792	225	681
973	753	294
240	184	585
585	35	545
938	68	906
146	211	603
845	450	486
592	292	235
599	976	434
861	998	725
446	463	508
126	239	559
175	9	66
564	313	636
366	863	369
832	67	603
898	69	11
963	312	282
905	342	798
53	426	967
221	710	828
735	866	895
157	674	250
815	907	447
568	996	805
725	689	272
209	485	696
515	219	352
533	693	289
410	24	993
222	646	48
207	540	360
173	360	144
315	47	588
804	400	719
836	761	733
886	348	221
697	512	274
242	591	252
169	559	104
495	470	632
481	791	604
944	171	959
302	224	322
549	582	661
715	15	652
349	633	253
477	852	616
995	852	368
936	772	867
785	9	284
353	22	950
633	581	84
979	44	667
702	603	997
243	46	838
32	371	511
199	650	934
676	41	496
630	632	607
127	210	306
377	667	42
870	659	555
247	730	126
723	144	606
682	357	41
792	830	119
657	138	795
847	477	92
862	118	417
286	428	529
208	908	392
468	159	839
739	467	666
352	216	75
119	487	830
743	492	385
484	97	862
81	190	896
465	263	11
894	443	267
559	199	603
775	366	63
497	366	799
277	54	501
30	485	592
749	370	516
930	306	264
14	630	98
747	128	645
235	225	204
321	503	929
429	619	38
903	32	71
766	105	386
672	908	109
725	884	285
119	682	523
987	529	214
706	70	774
837	844	855
616	944	764
497	778	238
231	122	912
193	310	852
74	483	470
462	100	554
228	435	315
375	239	369
983	848	901
788	967	753
5	258	466
956	774	403
727	213	799
852	93	591
965	717	733
48	252	379
423	620	111
385	977	832
893	856	819
947	18	253
204	506	672
200	28	443
94	860	712
370	59	102
799	56	803
682	38	225
569	66	421
219	500	574
912	121	334
982	687	59
805	731	361
807	504	522
137	702	366
977	628	529
298	215	875
322	828	120
973	531	682
294	217	938
110	338	736
322	763	247
971	133	844
621	5	159
223	181	258
747	721	398
319	211	872
210	990	853
240	21	228
907	478	307
406	608	501
730	257	423
564	592	529
616	405	64
888	149	666
890	255	641
993	459	734
744	543	295
988	158	148
414	579	640
387	272	527
189	712	718
589	319	611
24	244	199
92	517	958
554	649	268
963	544	88
80	937	353
720	95	952
675	864	916
163	6	995
677	320	855
138	206	120
904	430	926
35	57	50
563	21	258
318	915	71
734	262	668
953	533	429
512	416	369
794	596	140
718	36	378
731	457	591
526	301	237
538	117	411
699	306	773
283	584	823
169	385	435
359	645	676
966	826	214
680	449	467
726	97	968
32	94	895
841	776	988
383	838	152
165	895	310
23	159	503
704	649	798
254	191	603
11	848	180
559	446	322
75	220	622
488	639	975
169	861	200
634	27	745
463	448	970
901	541	372
396	164	282
957	386	978
641	321	732
776	739	726
641	153	280
760	859	664
434	817	201
