87	30	2	34
49	48	11	45
41	51	87	86
84	4	46	87
28	76	16	79
17	85	38	81
72	28	73	42
42	93	56	20
78	30	45	65
38	53	83	19
38	3	79	23
61	86	5	33
56	94	91	25
49	25	37	1
91	21	61	21
74	68	2	48
94	66	7	53
58	81	49	74
93	97	40	14
6	15	19	85
22	39	86	48
1	31	71	53
93	44	73	17
92	61	44	70
0	31	28	95
79	51	74	75
45	17	31	51
84	23	95	76
2	76	98	35
81	54	46	63
94	53	60	14
7	32	82	31
53	70	13	74
86	24	6	70
64	11	3	84
99	20	69	69
49	97	14	15
63	8	88	45
85	64	0	25
90	60	68	12
34	99	97	14
9	20	89	77
69	28	70	70
51	62	64	74
84	91	65	9
17	66	68	45
81	68	89	21
23	81	79	4
43	90	49	99
22	54	60	28
8	36	46	35
37	17	94	22
0	26	40	99
95	58	95	68
31	52	32	41
31	67	54	87
48	66	27	61
12	64	51	30
31	37	1	80
19	33	7	63
74	66	20	96
41	80	8	84
94	81	68	70
21	19	96	40
82	59	86	71
90	33	10	36
75	10	68	58
57	15	48	97
45	68	66	64
47	57	46	68
57	42	66	30
95	80	8	12
40	61	98	60
46	36	73	41
56	84	21	31
11	50	26	79
33	70	25	52
52	32	92	24
12	18	13	47
66	79	40	94
1	56	17	96
17	87	51	8
95	25	8	62
35	15	56	7
16	86	97	25
55	56	59	8
68	73	47	27
23	25	74	77
43	27	29	54
33	30	62	45
19	16	57	27
23	30	88	97
62	6	31	80
81	15	38	45
96	9	28	43
40	23	85	69
50	31	18	8
85	1	73	85
23	51	5	38
99	32	84	37
84	49	65	16
94	94	95	28
89	84	57	23
2	19	5	96
30	87	76	92
11	80	12	60
32	45	56	29
10	99	45	64
24	90	58	90
57	68	75	56
35	90	18	0
43	50	83	4
46	8	7	11
55	92	26	4
37	5	84	48
37	65	18	89
38	93	98	11
60	15	39	61
12	19	56	20
61	11	16	82
62	52	83	1
91	34	8	32
63	54	52	51
84	26	19	69
72	29	61	50
51	71	44	30
68	45	99	35
35	5	42	26
89	2	85	84
82	16	97	4
84	66	48	5
62	87	77	85
0	87	48	32
49	65	30	91
7	52	32	45
34	72	97	58
12	26	62	81
40	34	87	55
31	57	66	84
23	38	67	81
68	14	35	47
56	9	76	23
71	94	77	29
83	51	70	11
69	89	93	36
25	95	44	65
99	93	0	92
99	46	67	69
84	51	77	20
37	49	1	2
49	39	10	45
57	57	71	80
87	54	15	33
45	31	55	72
69	69	47	63
9	84	23	25
27	7	44	31
74	50	73	19
88	90	86	86
85	98	8	42
21	20	5	45
30	33	23	53
96	4	50	68
1	37	92	65
15	84	18	49
12	39	6	36
80	96	45	54
44	69	87	71
60	5	42	89
