18,0	8,0	8,0	7,0	18,0	15,0	30,0	40,0	22,0	19,0	11,0	13,0
16,0	24,0	14,0	20,0	13,0	8,0	46,0	35,0	34,0	43,0	22,0	17,0
23,0	22,0	26,0	17,0	8,0	9,0	20,0	47,0	15,0	26,0	1,0	20,0
20,0	8,0	3,0	3,0	3,0	10,0	32,0	36,0	19,0	23,0	28,0	14,0
5,0	9,0	9,0	3,0	8,0	12,0	27,0	17,0	22,0	25,0	11,0	14,0
15,0	11,0	13,0	8,0	10,0	11,0	28,0	30,0	30,0	19,0	15,0	16,0
35,0	24,0	15,0	13,0	7,0	21,0	60,0	43,0	15,0	24,0	1,0	25,0
18,0	21,0	23,0	3,0	19,0	14,0	12,0	48,0	23,0	23,0	7,0	9,0
10,0	11,0	38,0	13,0	7,0	8,0	35,0	15,0	33,0	23,0	15,0	16,0
14,0	11,0	23,0	7,0	8,0	10,0	20,0	25,0	34,0	10,0	14,0	13,0
14,0	11,0	23,0	7,0	8,0	10,0	20,0	25,0	34,0	10,0	14,0	13,0
8,0	7,0	14,0	8,0	15,0	14,0	30,0	18,0	35,0	28,0	18,0	15,0
8,0	7,0	14,0	8,0	15,0	14,0	30,0	18,0	35,0	28,0	18,0	15,0
10,0	7,0	0,0	1,0	7,0	11,0	16,0	27,0	19,0	26,0	14,0	32,0
8,0	15,0	5,0	5,0	6,0	13,0	13,0	11,0	10,0	13,0	5,0	16,0
25,0	17,0	2,0	15,0	6,0	14,0	19,0	24,0	18,0	12,0	19,0	16,0
5,0	10,0	7,0	9,0	11,0	7,0	8,0	16,0	12,0	8,0	5,0	8,0
11,0	4,0	6,0	2,0	7,0	13,0	8,0	15,0	6,0	16,0	11,0	16,0
18,0	8,0	6,0	2,0	8,0	9,0	5,0	12,0	21,0	15,0	12,0	17,0
8,5	11,6	9,0	4,7	4,2	10,0	7,3	3,2	9,9	18,3	13,8	4,4
10,5	6,8	13,1	5,4	6,5	2,6	5,2	6,9	13,3	8,9	5,4	3,3
8,9	4,6	29,9	4,1	6,3	2,4	14,1	28,7	33,3	38,8	20,3	14,3
9,8	19,7	10,2	2,7	5,8	8,0	56,1	7,3	18,3	18,6	7,7	14,3
18,5	9,6	5,3	4,7	19,1	14,5	17,3	47,9	43,6	16,9	13,0	27,1
4,5	15,4	17,5	26,2	18,2	22,9	11,3	59,7	15,4	25,9	6,5	4,0
14,4	6,7	14,9	9,6	19,1	25,2	32,9	29,5	32,4	14,1	14,0	17,6
3,3	9,4	7,0	7,8	20,0	15,3	24,6	9,3	28,1	20,7	11,0	29,3
22,4	2,7	18,0	47,3	14,2	20,9	15,5	4,5	17,9	10,9	32,2	20,4
5,0	8,4	4,7	1,5	11,4	7,4	5,5	28,7	14,1	28,1	13,5	12,8
13,6	15,6	17,6	13,8	9,0	15,6	15,6	20,0	15,3	12,2	9,7	5,1
11,0	7,4	12,3	0,6	8,5	6,9	15,0	20,7	7,8	15,4	19,0	4,7
8,4	12,5	12,5	21,0	4,6	18,2	14,8	29,5	27,4	41,9	10,3	8,5
15,1	6,9	8,3	4,8	18,7	5,5	0,5	8,1	12,8	8,2	16,7	30,5
20,6	13,8	9,4	31,7	12,3	17,5	28,1	8,9	40,0	27,5	42,9	20,2
3,8	10,4	9,5	14,2	19,3	18,7	8,2	18,2	21,6	26,1	29,4	14,8
23,5	21,0	3,1	9,6	8,2	15,2	6,3	7,2	16,9	64,6	29,4	22,7
7,7	14,6	10,6	19,2	28,8	38,1	32,5	31,2	46,4	24,9	24,4	15,2
8,3	7,0	17,2	9,5	14,8	10,6	13,1	7,0	14,5	14,5	9,0	8,0
4,0	1,2	7,4	4,0	16,3	8,3	10,8	17,4	13,1	38,7	8,4	27,4
7,2	18,0	9,1	3,0	8,5	4,0	12,7	14,5	33,2	49,3	11,8	19,2
17,0	17,1	16,0	7,7	15,4	53,7	40,5	43,4	22,3	25,8	14,3	8,0
5,7	2,8	28,3	16,1	11,0	9,1	30,9	24,5	27,0	21,5	3,6	14,4
19,0	11,6	2,9	8,1	6,2	3,8	15,1	42,9	24,1	42,2	21,9	30,2
21,4	7,6	6,7	7,2	17,0	14,7	37,4	33,9	32,7	15,6	7,9	27,3
