26	10	87	31	20	10	58	6
99	4	47	78	14	22	18	7
63	47	51	1	30	75	56	90
39	64	90	30	44	90	31	72
52	12	72	90	17	15	20	79
9	83	27	77	27	32	15	60
12	99	65	46	97	90	43	1
72	76	81	35	25	3	36	4
70	67	64	19	24	45	37	17
84	45	61	92	68	84	88	10
59	9	86	30	12	73	85	27
89	5	20	41	92	38	5	66
85	39	50	7	52	61	19	30
62	28	16	71	51	94	5	78
26	36	82	91	91	39	95	72
57	72	19	13	55	81	22	23
48	72	31	94	83	45	78	8
63	71	99	95	24	23	28	6
42	32	38	63	6	11	54	63
95	5	44	24	15	13	36	33
80	2	33	49	61	17	20	59
12	20	80	70	58	15	20	33
62	5	67	54	77	80	83	34
74	31	55	25	72	57	49	23
19	81	15	49	8	30	36	15
58	94	15	84	26	33	1	100
15	77	1	28	59	90	92	58
15	39	3	79	54	93	32	22
41	63	83	27	2	64	34	69
93	5	13	98	20	18	23	59
2	16	16	95	22	23	79	82
12	38	32	10	25	82	44	26
77	51	89	47	86	49	91	11
65	29	53	100	43	75	15	1
94	25	23	75	66	76	68	31
75	16	78	23	82	78	83	31
21	92	45	55	77	31	76	24
24	4	76	35	10	50	51	74
63	33	70	59	79	95	88	64
7	98	48	44	36	76	14	2
53	30	15	82	59	21	17	82
19	43	9	37	90	65	2	95
56	29	62	81	4	56	46	14
34	26	50	61	23	17	79	90
94	95	49	25	84	68	36	24
29	91	11	18	8	78	83	33
33	88	25	41	17	74	75	21
84	60	56	28	41	79	12	11
63	55	88	54	6	24	31	71
91	8	65	44	70	12	36	7
32	20	65	25	90	26	56	8
80	32	10	20	47	65	37	52
11	44	29	57	94	64	47	66
51	79	44	99	56	21	15	38
49	93	88	55	70	17	36	22
70	76	79	86	60	96	64	75
72	99	79	89	84	86	92	28
2	35	37	7	87	1	18	16
38	20	34	44	51	70	99	37
29	4	62	91	29	99	81	87
92	27	40	98	51	10	70	33
78	74	67	20	99	8	46	38
71	8	24	62	79	77	4	37
76	68	94	35	2	2	24	1
67	2	97	30	40	72	32	26
26	20	85	78	77	68	91	84
63	36	75	60	27	43	37	50
82	98	85	85	10	49	49	19
20	5	88	82	17	75	63	29
91	38	28	13	38	84	95	11
77	56	8	96	55	72	39	3
7	9	100	87	1	100	6	27
87	96	81	6	12	17	18	27
20	46	36	15	73	57	78	50
100	48	35	33	9	8	80	44
99	44	7	28	91	77	34	98
23	85	71	65	92	81	89	12
23	75	12	63	71	23	87	18
99	2	45	71	95	40	82	81
16	3	46	99	15	70	73	26
24	48	21	50	44	69	95	81
86	27	77	60	31	50	23	70
95	65	20	78	68	58	2	98
30	10	35	34	80	81	51	100
65	79	66	76	97	84	14	79
100	30	88	6	7	40	81	66
73	22	64	6	92	48	34	13
2	12	77	54	89	38	23	28
42	61	97	44	67	83	23	91
39	99	22	96	18	56	95	16
42	83	37	75	75	80	66	54
80	13	68	61	23	68	100	32
99	98	90	19	37	51	55	96
90	4	19	14	82	98	75	14
10	59	66	61	99	91	96	51
39	63	60	4	55	59	46	77
71	13	43	12	32	76	46	58
5	91	60	43	67	57	69	76
85	18	38	69	55	68	97	96
74	31	14	73	35	18	65	41
86	14	8	54	65	96	44	3
15	75	68	58	24	50	46	64
59	39	93	35	47	12	47	43
3	35	99	93	45	44	2	68
56	28	77	13	79	48	18	23
73	51	84	69	90	83	7	57
71	90	62	21	31	27	10	58
5	43	49	32	23	30	18	35
87	60	20	91	36	11	75	76
31	47	51	14	66	7	85	84
29	19	82	23	28	44	62	75
8	87	72	4	26	44	51	63
11	95	77	75	8	64	68	11
9	23	11	31	14	12	79	83
64	65	7	26	27	29	87	98
85	20	6	15	95	31	58	90
26	48	27	83	99	28	81	93
40	58	73	48	37	79	54	12
41	65	29	93	48	59	66	71
39	70	54	81	2	22	48	97
58	36	57	66	95	28	52	95
69	62	31	33	76	53	51	14
51	53	34	2	74	87	25	1
62	35	37	59	39	7	29	20
99	23	23	4	29	35	3	94
92	21	9	85	15	8	59	32
24	87	29	92	24	42	84	10
95	88	16	77	83	4	68	43
66	49	89	87	94	70	8	74
36	88	49	38	97	61	57	37
82	53	80	92	49	72	2	11
73	3	27	9	83	16	77	6
74	57	93	57	28	95	73	53
67	42	56	84	17	73	23	11
44	32	23	98	15	58	49	94
44	13	47	20	2	11	73	28
18	92	38	44	49	33	47	8
10	68	34	57	16	85	41	37
94	46	5	94	30	75	11	15
60	72	49	33	34	78	86	45
6	14	67	53	48	39	48	45
89	73	85	41	98	90	5	18
10	92	46	76	51	90	64	52
15	75	74	67	1	92	67	19
55	19	69	33	44	69	4	45
45	54	57	68	79	96	11	42
51	54	98	56	49	93	22	65
100	36	73	41	61	34	41	57
98	44	16	73	87	12	45	56
43	23	34	9	3	11	97	39
48	88	10	59	71	77	35	88
76	15	69	80	25	37	11	45
86	62	47	77	13	35	94	19
2	23	50	55	21	69	66	92
80	79	79	34	36	65	94	49
88	17	15	74	44	2	75	89
29	11	28	44	43	84	90	97
4	72	60	56	34	30	90	75
82	4	94	59	64	27	12	16
71	24	84	79	12	50	97	45
97	99	41	33	38	22	86	6
53	95	43	90	85	86	43	71
65	83	50	95	60	96	64	77
60	15	35	96	16	6	96	34
77	85	56	54	39	92	62	52
43	11	66	17	93	95	69	48
27	96	89	95	18	20	82	30
89	99	18	67	64	76	63	50
66	4	46	1	92	61	66	25
58	5	86	60	81	7	94	68
76	58	53	49	40	20	14	40
77	35	34	85	26	10	6	54
93	54	67	61	100	75	31	4
44	51	18	36	8	2	49	66
79	43	6	18	92	91	97	56
23	66	13	32	11	75	53	70
98	16	21	19	86	2	58	33
54	49	67	86	16	72	63	7
55	82	78	48	33	35	12	98
49	65	40	87	45	97	67	64
66	59	3	36	5	13	6	94
86	60	5	84	37	75	14	30
27	2	28	21	21	9	31	9
82	94	12	88	85	34	70	31
54	98	7	7	8	21	54	22
29	5	90	10	97	17	46	91
17	17	4	93	60	89	99	63
98	97	50	53	27	13	87	94
76	100	80	87	16	3	61	51
3	71	16	43	96	9	55	88
100	80	86	41	98	85	21	82
68	2	83	96	20	42	4	48
67	74	68	19	19	43	82	99
90	75	86	38	53	77	59	62
37	37	16	72	36	95	24	78
73	19	63	15	82	2	50	65
84	27	81	40	24	85	17	69
59	97	37	41	29	33	1	86
33	79	14	4	34	69	82	54
17	44	32	28	57	56	94	35
45	20	17	42	19	30	42	84
67	19	43	23	18	44	5	83
81	46	47	97	59	9	19	10
47	71	15	72	31	11	95	95
42	97	15	38	94	18	21	59
22	26	78	92	14	89	19	89
38	91	24	58	97	50	51	44
35	28	16	51	96	35	73	17
76	65	79	54	65	24	8	48
9	14	59	91	79	41	14	89
34	68	21	41	35	45	100	14
18	12	85	1	80	26	4	6
1	21	65	9	56	55	87	43
36	87	76	12	53	24	61	81
63	83	67	35	57	30	13	19
87	66	39	87	98	98	26	55
36	40	24	82	59	83	45	93
86	34	72	91	31	7	33	1
28	64	45	26	29	28	23	65
44	49	71	63	55	42	24	5
